GroupCode,ServerCode,GroupName,UpdateRate,DeadBand,Active,Remark,CreateTime,UpdateTime,RowVersion
CR,WCSServer,堆垛机,1000,0,1,,23-11月-19,19-4月 -20,EAB3439F3B4D52439D2538A49EC228ED
AGV,WCSServer,AGV,1000,0,1,,23-11月-19,17-8月 -20,B4F57C1C50CE294A9F3BBB92CFC695EA
Heartbeat,WCSServer,仓储控制心跳,1000,0,1,,22-11月-19,22-11月-19,E3B877E034C04023A40E8DBB68937CB7
ScanCodeInbound,WCSServer,申请辅料入库,1000,0,1,,22-11月-19,22-11月-19,B087C9A54B504873B0995EF31673B307
ApplyBackStorage,WCSServer,申请回库,1000,0,1,,22-11月-19,02-11月-20,481EAA4B373BEC428C1651F9D55708A3
EmptyPalletInbound,WCSServer,请求空托盘入库,1000,0,1,,22-11月-19,22-11月-19,E9C512E89C7D461383B35833A44E6868
TaskArrive,WCSServer,任务到达,1000,0,1,,22-11月-19,22-11月-19,43122A862BF6485F9CFB9B4EA65BEB9F
InteractiveGroup,CR01Server,交互组,1000,0,1,,22-11月-19,22-11月-19,FF844E41FBF2384389BFF524FBD0FA85
InteractiveGroup,CR02Server,交互组,1000,0,1,,22-11月-19,22-11月-19,94D7670DACBBF345B4D6BB491916B728
LocationInfo,WCSServer,货位托盘信息,1000,0,1,,17-10月-20,16-1月 -21,4B4EDE22F3FD534CAE238E3F6041677B
RealTimeLocationInfo,WCSServer,实时货位信息,1000,0,1,,17-10月-20,17-10月-20,0388BCCFD902354F87D045CF70474568
ProductInfoSummary,WCSServer,产品信息统计,1000,0,1,,16-1月 -21,16-1月 -21,C93790B6773AB84A86D68CD42A6B714B
