MachineCode,MachineName,MachineType,CreateTime,UpdateTime,RowVersion,ClientIP,Active,ExternalMachineCode,Using
101,J-101,卷接包1号机组ZJ19/FK350,2019-02-28 08:41:53.420,2019-11-01 14:54:01.750,0x655B48DC6F38DD499DCDE890D71E468F,192.168.18.1:80,1,1120003837,1
102,J-102,卷接包2号机组ZJ19/ZB45,2019-02-28 08:51:41.277,2019-10-24 16:48:13.477,0x6C5471A9FA082F4695AC4559F61D5210,192.168.157.1:81,1,1120003838,1
103,J-103,卷接包3号机组ZJ19/ZB45,2019-02-28 08:32:17.837,2019-10-19 08:49:14.883,0x7D8052F1BB757847A209E0494E7AD04B,10.113.231.13:82,1,1120003841,1
104,J-104,卷接包4号机组ZJ19/ZB45,2019-02-28 08:56:19.727,2019-10-19 16:40:20.917,0x3327FFBE76B71D409FADF7B91B5D6C32,10.113.231.14:83,1,1120003839,1
105,J-105,卷接包5号机组ZJ19/BE,2019-02-25 15:01:49.710,2019-10-19 08:41:09.177,0x8EF25D338BA297479958B8344BEA377B,10.113.231.15:84,1,1120003842,1
106,J-106,卷接包6号机组ZJ19/BE,2019-02-24 09:04:07.703,2019-10-19 09:56:58.917,0x3ED728AE9F3CC74DA6B7E00742897193,10.113.231.16:85,1,1120003840,1
107,J-107,卷接包7号机组ZJ19/BE,2018-11-21 12:52:37.367,2019-09-23 09:21:13.887,0x4096DFA80D80A743A39E29E1555B8FED,10.113.231.17:86,1,1120008524,0
201,Z-201,装封箱1号机组,2019-02-28 09:20:39.723,2019-11-01 14:54:19.387,0x90BEE68461911542B984D670BF8F3AC6,192.168.18.12:87,1,1120005172,1
202,Z-202,装封箱2号机组,2019-02-28 08:58:14.067,2019-10-19 08:38:13.460,0x8CC84B7F482E9B48A0A760ACA382C46A,10.113.231.22:88,1,1120005173,1
203,Z-203,装封箱3号机组,2019-02-28 08:47:06.413,2019-10-19 13:35:48.807,0xDC7861F4646B8B4CAA7A3F484DF74FB9,10.113.231.23:89,1,1120005174,1
301,C-301,成型区1号机组,2019-01-25 00:58:32.310,2019-10-18 16:38:40.957,0x69E0F6F1464C8C44A571E9C6DAF4DD4F,10.113.231.26:90,1,1120007158,1
303,C-303,成型区3号机组,2019-01-25 08:41:46.293,2019-10-19 08:49:07.430,0x540D59E71018CF4E99C945296EF5CCB7,10.113.231.27:91,1,1120007787,1
401,S-401,手工间1号机组,2018-12-24 16:37:48.730,2019-01-23 18:28:58.043,0xB7854EEE9F6CA140A0D34AE6996BD2CE,10.113.231.28,1,NULL,0
501,T-101,二楼要料口,2018-12-20 13:07:42.670,2019-01-23 18:28:44.747,0x1BFE9207DC131D4BA1CF0034B117B5FA,10.113.231.34,1,NULL,0
